AssetId,AssetTag,SerialNumber,Manufacturer,Model,AssetCategoryId,DepartmentId,PurchaseDate,PurchasePrice,BookValue,VendorId,Status,Condition,RoomId,WarrantyExpiration,IsUnderWarranty,Description,LastAuditDate,RecordStatus
1,CNT-000001,CAM-AXI-2023-00001,Axis,P3245-V,21,44,2023-05-08,490.17,337.81,35,Active,Poor,190,2028-05-06,True,Asset Axis P3245-V - CNT-000001,2023-02-02,Active
2,CNT-000002,SRV-HP-2022-00002,HP,ProLiant DL380 Gen10,3,45,2022-10-01,27449.8,18468.66,27,Active,Excellent,140,2027-09-30,True,Asset HP ProLiant DL380 Gen10 - CNT-000002,2023-10-12,Active
3,CNT-000003,KBM-MIC-2020-00003,Microsoft,150 Wireless Combo,25,7,2020-05-05,93.06,66.15,25,Active,Fair,24,2022-05-05,False,Asset Microsoft 150 Wireless Combo - CNT-000003,2023-12-19,Active
4,CNT-000004,SWL-MIC-2022-00004,Microsoft,SAP S/4HANA,26,41,2022-02-13,486.12,162.63,24,Repair,Good,159,2025-02-12,True,Asset Microsoft SAP S/4HANA - CNT-000004,2023-03-13,Active
5,CNT-000005,ACS-LEN-2018-00005,Lenel,iSTAR Ultra,22,41,2018-04-28,572.7,184.63,11,Assigned,Fair,94,2023-04-27,False,Asset Lenel iSTAR Ultra - CNT-000005,2023-08-03,Active
6,CNT-000006,EHD-SEA-2022-00006,Seagate,My Passport 4TB,23,41,2022-12-08,115.95,46.79,36,Active,Fair,177,2024-12-07,True,Asset Seagate My Passport 4TB - CNT-000006,2023-02-27,Active
7,CNT-000007,TST-FLU-2021-00007,Fluke,DSO-X 3024T,27,46,2021-05-03,3559.25,3040.77,14,Reserved,Excellent,81,2026-05-02,False,Asset Fluke DSO-X 3024T - CNT-000007,2024-02-10,Active
8,CNT-000008,PRN-CAN-2019-00008,Canon,VersaLink C405,5,28,2019-12-18,4450.13,3104.46,26,Assigned,Good,150,2022-12-17,False,Asset Canon VersaLink C405 - CNT-000008,2023-05-22,Active
9,CNT-000009,SRV-DEL-2019-00009,Dell,PowerEdge R750,3,5,2019-11-06,36683.17,16057.25,25,Repair,Excellent,99,2024-11-04,True,Asset Dell PowerEdge R750 - CNT-000009,2023-09-15,Active
10,CNT-000010,ACS-HID-2024-00010,HID,iSTAR Ultra,22,30,2024-11-11,601.19,269.22,47,Retired,Fair,1,2029-11-10,True,Asset HID iSTAR Ultra - CNT-000010,2024-05-27,Active
11,CNT-000011,FIL-STE-2024-00011,Steelcase,36W 2-Drawer,17,49,2024-11-17,545.83,121.32,35,Disposed,Good,42,2031-11-16,False,Asset Steelcase 36W 2-Drawer - CNT-000011,2023-01-01,Active
12,CNT-000012,CHR-STE-2020-00012,Steelcase,Gesture Chair,16,6,2020-05-08,398.47,319.74,47,Assigned,Good,22,2025-05-07,True,Asset Steelcase Gesture Chair - CNT-000012,2023-05-09,Active
13,CNT-000013,ACS-HON-2020-00013,Honeywell,PD-REX,22,35,2020-09-28,1937.8,1688.77,47,Retired,Good,194,2025-09-27,False,Asset Honeywell PD-REX - CNT-000013,2023-11-16,Active
14,CNT-000014,ACS-SOF-2022-00014,Software House,OmniAssure,22,2,2022-08-04,969.35,146.59,36,Active,Good,151,2027-08-03,True,Asset Software House OmniAssure - CNT-000014,2023-01-08,Active
15,CNT-000015,EHD-SEA-2018-00015,Seagate,My Passport 4TB,23,18,2018-01-28,152.69,78.07,32,Active,Good,172,2020-01-28,False,Asset Seagate My Passport 4TB - CNT-000015,2023-05-16,Active
16,CNT-000016,TAB-LEN-2019-00016,Lenovo,ThinkPad X12,8,27,2019-02-04,1124.88,431.32,47,Active,Good,120,2021-02-03,False,Asset Lenovo ThinkPad X12 - CNT-000016,2023-03-04,Active
17,CNT-000017,DCK-LEN-2019-00017,Lenovo,WD22TB4,24,12,2019-04-07,391.33,83.02,30,Active,Good,72,2021-04-06,True,Asset Lenovo WD22TB4 - CNT-000017,2024-03-29,Active
18,CNT-000018,DKT-DEL-2024-00018,Dell,OptiPlex 7010,2,26,2024-04-06,1372.19,665.63,11,Assigned,Excellent,16,2027-04-06,False,Asset Dell OptiPlex 7010 - CNT-000018,2024-02-04,Active
19,CNT-000019,RCK-MID-2021-00019,Middle Atlantic,N-Type 42U,30,46,2021-12-24,7965.67,4338.22,10,Active,Fair,125,2028-12-22,True,Asset Middle Atlantic N-Type 42U - CNT-000019,2023-08-11,Active
20,CNT-000020,SCN-FUJ-2018-00020,Fujitsu,WorkForce ES-580W,19,34,2018-01-19,1535.01,1282.52,4,Maintenance,Good,41,2021-01-18,True,Asset Fujitsu WorkForce ES-580W - CNT-000020,2023-07-10,Active
