RoomId,FloorId,BuildingId,RoomNumber,RoomCode,RoomType,Capacity,Status
1,1,1,101,HQ-TWR-0101,Conference Room,39,Active
2,1,1,102,HQ-TWR-0102,Server Room,35,Active
3,1,1,103,HQ-TWR-0103,Storage,11,Active
4,1,1,104,HQ-TWR-0104,Reception,25,Active
5,2,1,201,HQ-TWR-0201,Training Room,15,Active
6,2,1,202,HQ-TWR-0202,Open Workspace,50,Active
7,2,1,203,HQ-TWR-0203,Office,15,Active
8,2,1,204,HQ-TWR-0204,Office,21,Active
9,3,2,101,WCA-0101,Lab,5,Active
10,3,2,102,WCA-0102,Storage,37,Active
11,3,2,103,WCA-0103,Open Workspace,14,Active
12,3,2,104,WCA-0104,Reception,26,Active
13,3,2,105,WCA-0105,Reception,10,Active
14,4,2,201,WCA-0201,Server Room,16,Active
15,4,2,202,WCA-0202,Training Room,35,Active
16,4,2,203,WCA-0203,Lab,48,Active
17,4,2,204,WCA-0204,Data Center Floor,28,Active
18,5,2,301,WCA-0301,Break Room,24,Active
19,5,2,302,WCA-0302,Storage,9,Active
20,5,2,303,WCA-0303,Training Room,32,Active
21,5,2,304,WCA-0304,Conference Room,49,Active
22,5,2,305,WCA-0305,Office,8,Active
23,5,2,306,WCA-0306,Server Room,41,Active
24,6,3,101,WCB-0101,Break Room,39,Active
25,6,3,102,WCB-0102,Conference Room,25,Active
26,6,3,103,WCB-0103,Break Room,39,Active
27,7,3,201,WCB-0201,Training Room,17,Active
28,7,3,202,WCB-0202,Training Room,1,Active
29,7,3,203,WCB-0203,Conference Room,44,Active
30,7,3,204,WCB-0204,Training Room,49,Active
31,7,3,205,WCB-0205,Lab,50,Active
32,8,4,101,DC1-0101,Conference Room,19,Active
33,8,4,102,DC1-0102,Break Room,11,Active
34,8,4,103,DC1-0103,Reception,1,Active
35,8,4,104,DC1-0104,Lab,33,Active
36,9,4,201,DC1-0201,Training Room,7,Active
37,9,4,202,DC1-0202,Lab,41,Active
38,9,4,203,DC1-0203,Training Room,39,Active
39,10,5,101,DC2-0101,Server Room,24,Active
40,10,5,102,DC2-0102,Server Room,35,Active
41,10,5,103,DC2-0103,Training Room,1,Active
42,11,5,201,DC2-0201,Open Workspace,32,Active
43,11,5,202,DC2-0202,Office,8,Active
44,11,5,203,DC2-0203,Open Workspace,20,Active
45,11,5,204,DC2-0204,Storage,4,Active
46,11,5,205,DC2-0205,Storage,37,Active
47,11,5,206,DC2-0206,Conference Room,6,Active
48,12,6,101,MFG1-0101,Conference Room,49,Active
49,12,6,102,MFG1-0102,Training Room,50,Active
50,12,6,103,MFG1-0103,Server Room,9,Active
51,12,6,104,MFG1-0104,Reception,36,Active
52,12,6,105,MFG1-0105,Server Room,17,Active
53,13,6,201,MFG1-0201,Data Center Floor,28,Active
54,13,6,202,MFG1-0202,Storage,35,Active
55,13,6,203,MFG1-0203,Storage,46,Active
56,13,6,204,MFG1-0204,Lab,26,Active
57,13,6,205,MFG1-0205,Open Workspace,29,Active
58,13,6,206,MFG1-0206,Training Room,29,Active
59,14,7,101,MFG2-0101,Storage,15,Active
60,14,7,102,MFG2-0102,Conference Room,22,Active
61,15,7,201,MFG2-0201,Data Center Floor,36,Active
62,15,7,202,MFG2-0202,Storage,38,Active
63,16,7,301,MFG2-0301,Office,5,Active
64,16,7,302,MFG2-0302,Office,15,Active
65,16,7,303,MFG2-0303,Conference Room,3,Active
66,17,7,401,MFG2-0401,Conference Room,33,Active
67,17,7,402,MFG2-0402,Storage,18,Active
68,17,7,403,MFG2-0403,Reception,14,Active
69,17,7,404,MFG2-0404,Training Room,9,Active
70,18,7,501,MFG2-0501,Data Center Floor,31,Active
71,18,7,502,MFG2-0502,Storage,31,Active
72,18,7,503,MFG2-0503,Break Room,13,Active
73,18,7,504,MFG2-0504,Conference Room,7,Active
74,18,7,505,MFG2-0505,Break Room,23,Active
75,18,7,506,MFG2-0506,Break Room,27,Active
76,19,8,101,WHC-0101,Office,44,Active
77,19,8,102,WHC-0102,Conference Room,4,Active
78,19,8,103,WHC-0103,Break Room,47,Active
