SoftwareLicenseId,ProductName,Publisher,VendorId,DepartmentId,LicenseType,TotalSeats,UsedSeats,UnitCost,TotalCost,Currency,StartDate,EndDate,LicenseKey,LicenseModel,Status
1,Salesforce Sales Cloud,Salesforce,17,6,Subscription,355,299,150,639000.0,USD,2020-11-02,2021-11-02,G107G-8O8G8-00001,Per User,Expired
2,Snagit,TechSmith,15,22,Perpetual,276,178,62,17112.0,USD,2022-11-06,2025-11-05,NI9SU-ON8RJ-00002,Per Seat,Active
3,Cisco AnyConnect,Cisco,21,2,Perpetual,317,289,50,15850.0,USD,2021-09-25,2024-09-24,1KJAL-W563C-00003,Per User,Active
4,VMware vSphere,VMware,39,31,Perpetual,89,69,7500,667500.0,USD,2021-12-04,2024-12-03,3MI2D-NODKD-00004,Per CPU,Active
5,ServiceNow ITSM,ServiceNow,7,14,Subscription,378,310,18000,81648000.0,USD,2022-06-22,2023-06-22,53R4S-IP4B8-00005,Enterprise,Expired
6,SAP S/4HANA,SAP,45,42,Subscription,415,228,25000,124500000.0,USD,2023-04-26,2024-04-25,2BMQW-8EVRC-00006,Enterprise,Expired
7,SAP S/4HANA,SAP,49,31,Subscription,8,5,25000,2400000.0,USD,2019-09-23,2020-09-22,ISU1O-67U61-00007,Enterprise,Expired
8,Microsoft 365 E5,Microsoft,21,50,Subscription,303,217,10,36360.0,USD,2023-03-25,2024-03-24,QPKGR-MM0YT-00008,Per User,Expired
9,Visio Plan 2,Microsoft,38,28,Subscription,498,492,15,89640.0,USD,2020-10-11,2021-10-11,24KSK-WECY9-00009,Per User,Expired
10,SAP S/4HANA,SAP,1,3,Subscription,26,13,25000,7800000.0,USD,2020-09-20,2021-09-20,NIXI8-E5532-00010,Enterprise,Expired
11,Jira Software,Atlassian,5,14,Subscription,7,4,10,840.0,USD,2021-09-11,2022-09-11,BHWTG-DK4SN-00011,Per User,Expired
12,SAP S/4HANA,SAP,32,45,Subscription,484,249,25000,145200000.0,USD,2021-07-08,2022-07-08,62ZKO-0E49Z-00012,Enterprise,Expired
13,Confluence,Atlassian,19,14,Subscription,491,326,10,58920.0,USD,2021-12-12,2022-12-12,H3Z3D-E4EV5-00013,Per User,Expired
14,Microsoft 365 E3,Microsoft,41,20,Subscription,324,221,5,19440.0,USD,2021-02-11,2022-02-11,05SOR-HTMT1-00014,Per User,Expired
15,CrowdStrike Falcon,CrowdStrike,46,6,Subscription,345,337,15,62100.0,USD,2023-05-31,2024-05-30,GMQJ9-UJEFU-00015,Per Endpoint,Expired
